"","num_doss","cluster_tt"
"1","G0003","2"
"2","G0006","2"
"3","G0007","1"
"4","G0008","1"
"5","G0009","1"
"6","G0010","2"
"7","G0011","2"
"8","G0012","1"
"9","G0013","2"
"10","G0014","1"
"11","G0015","2"
"12","G0016","1"
"13","G0017","2"
"14","G0019","2"
"15","G0022","1"
"16","G0023","2"
"17","G0025","2"
"18","G0026","1"
"19","G0027","1"
"20","G0028","2"
"21","G0029","2"
"22","G0031","2"
"23","G0032","2"
"24","G0034","1"
"25","G0035","2"
"26","G0036","2"
"27","G0038","2"
"28","G0039","2"
"29","G0040","2"
"30","G0041","2"
"31","G0042","2"
"32","G0043","1"
"33","G0044","2"
"34","G0045","1"
"35","G0046","1"
"36","G0048","2"
"37","G0049","1"
"38","G0050","2"
"39","G0051","1"
"40","G0052","2"
"41","G0054","1"
"42","G0056","1"
"43","G0058","1"
"44","G0059","2"
"45","G0060","1"
"46","G0061","2"
"47","G0062","2"
"48","G0063","1"
"49","G0064","1"
"50","G0065","1"
"51","G0066","2"
"52","G0067","2"
"53","G0069","1"
"54","G0070","2"
"55","G0071","2"
"56","G0072","2"
"57","G0073","1"
"58","G0074","2"
"59","G0075","2"
"60","G0076","1"
"61","G0079","2"
"62","G0080","2"
"63","G0081","2"
"64","G0082","1"
"65","G0083","1"
"66","G0085","2"
"67","G0086","2"
"68","G0087","1"
"69","G0088","1"
"70","G0089","2"
"71","G0090","2"
"72","G0091","1"
"73","G0092","2"
"74","G0093","1"
"75","G0094","1"
"76","G0095","1"
"77","G0096","2"
"78","G0097","1"
"79","G0098","2"
"80","G0100","2"
"81","G0102","1"
"82","G0103","1"
"83","G0105","2"
"84","G0107","2"
"85","G0108","1"
"86","G0110","1"
"87","G0111","1"
"88","G0112","1"
"89","G0113","2"
"90","G0115","2"
"91","G0116","2"
"92","G0117","1"
"93","G0118","1"
"94","G0120","2"
"95","G0121","2"
"96","G0122","2"
"97","G0123","2"
"98","G0124","1"
"99","G0125","1"
"100","G0126","2"
"101","G0128","1"
"102","G0129","2"
"103","G0130","2"
"104","G0131","2"
"105","G0133","1"
"106","G0134","2"
"107","G0135","2"
"108","G0136","2"
"109","G0137","2"
"110","G0138","2"
"111","G0139","1"
"112","G0140","2"
"113","G0141","1"
"114","G0143","2"
"115","G0144","1"
"116","G0145","2"
"117","G0146","1"
"118","G0147","1"
"119","G0148","2"
"120","G0149","1"
"121","G0151","1"
"122","G0152","2"
"123","G0154","1"
"124","G0155","1"
"125","G0156","1"
"126","G0157","2"
"127","G0158","2"
"128","G0159","1"
"129","G0160","1"
"130","G0161","2"
"131","G0162","2"
"132","G0163","2"
"133","G0164","2"
"134","G0165","2"
"135","G0166","1"
"136","G0167","2"
"137","G0170","1"
"138","G0171","1"
"139","G0172","1"
"140","G0174","2"
"141","G0175","2"
"142","G0176","2"
"143","G0177","2"
"144","G0178","2"
"145","G0179","1"
"146","G0180","1"
"147","G0181","2"
"148","G0182","2"
"149","G0183","2"
"150","G0185","2"
"151","G0186","2"
"152","G0187","2"
"153","G0188","2"
"154","G0189","2"
"155","G0190","1"
"156","G0192","1"
"157","G0194","1"
"158","G0195","2"
"159","G0196","1"
"160","G0197","1"
"161","G0198","1"
"162","G0199","2"
"163","G0200","1"
"164","G0201","1"
"165","G0202","2"
"166","G0203","1"
"167","G0204","1"
"168","G0205","2"
"169","G0206","2"
"170","G0207","2"
"171","G0208","2"
"172","G0209","1"
"173","G0210","1"
"174","G0211","2"
"175","G0212","1"
"176","G0213","2"
"177","G0214","1"
"178","G0215","2"
"179","G0218","2"
"180","G0219","1"
"181","G0220","1"
"182","G0221","2"
"183","G0222","2"
"184","G0223","1"
"185","G0224","2"
"186","G0225","1"
"187","G0226","2"
"188","G0227","1"
"189","G0228","2"
"190","G0231","1"
"191","G0232","2"
"192","G0233","1"
"193","G0235","2"
"194","G0236","1"
"195","G0237","1"
"196","G0238","1"
"197","G0239","1"
"198","G0240","1"
"199","G0242","1"
"200","G0244","2"
"201","G0245","2"
"202","G0246","2"
"203","G0247","2"
"204","G0249","2"
"205","G0250","2"
"206","G0251","2"
"207","G0252","1"
"208","G0253","2"
"209","G0254","2"
"210","G0255","2"
"211","G0257","1"
"212","G0258","2"
"213","G0259","1"
"214","G0260","2"
"215","G0261","1"
"216","G0262","1"
"217","G0263","2"
"218","G0264","1"
"219","G0265","1"
"220","G0266","2"
"221","G0268","1"
"222","G0269","1"
"223","G0270","2"
"224","G0272","2"
"225","G0274","2"
"226","G0275","2"
"227","G0276","1"
"228","G0277","2"
"229","G0278","2"
"230","G0279","2"
"231","G0280","2"
"232","G0281","1"
"233","G0282","2"
"234","G0283","2"
"235","G0284","2"
"236","G0285","1"
"237","G0286","1"
"238","G0287","1"
"239","G0289","2"
"240","G0290","2"
"241","G0291","1"
"242","G0292","2"
"243","G0293","2"
"244","G0294","2"
"245","G0296","1"
"246","G0297","2"
"247","G0298","1"
"248","G0299","1"
"249","G0300","2"
"250","G0301","1"
"251","G0302","2"
"252","G0303","2"
"253","G0304","2"
"254","G0305","1"
"255","G0306","2"
"256","G0308","1"
"257","G0309","1"
"258","G0310","1"
"259","G0311","2"
"260","G0314","1"
"261","G0315","2"
"262","G0317","1"
"263","G0318","2"
"264","G0319","2"
"265","G0320","1"
"266","G0321","1"
"267","G0322","2"
"268","G0323","1"
"269","G0325","1"
"270","G0327","1"
"271","G0328","2"
"272","G0329","2"
"273","G0330","2"
"274","G0331","2"
"275","G0332","2"
"276","G0333","1"
"277","G0334","1"
"278","G0335","1"
"279","G0336","2"
"280","G0337","1"
"281","G0339","2"
"282","G0340","1"
"283","G0341","1"
"284","G0342","1"
"285","G0343","1"
"286","G0344","1"
"287","G0345","2"
"288","G0346","1"
"289","G0347","1"
"290","G0348","2"
"291","G0351","1"
"292","G0352","1"
"293","G0353","2"
"294","G0354","1"
"295","G0355","1"
"296","G0361","2"
"297","G0362","1"
"298","G0363","1"
"299","G0365","2"
"300","G0367","1"
"301","G0368","2"
"302","G0369","2"
"303","G0371","1"
"304","G0372","2"
"305","G0375","2"
"306","G0376","1"
"307","G0377","1"
"308","G0379","1"
"309","G0381","1"
"310","G0382","2"
"311","G0383","2"
"312","G0384","1"
"313","G0385","2"
"314","G0386","1"
"315","G0387","2"
"316","G0388","2"
"317","G0389","1"
"318","G0390","2"
"319","G0391","1"
"320","G0392","1"
"321","G0393","2"
"322","G0394","1"
"323","G0395","1"
"324","G0396","2"
"325","G0397","1"
"326","G0398","2"
"327","G0399","1"
"328","G0400","2"
"329","G0401","1"
"330","G0402","1"
"331","G0403","2"
"332","G0404","1"
"333","G0405","2"
"334","G0406","1"
"335","G0407","2"
"336","G0408","1"
"337","G0409","2"
"338","G0410","2"
"339","G0411","1"
"340","G0412","2"
"341","G0413","1"
"342","G0414","2"
"343","G0415","1"
"344","G0416","1"
"345","G0417","2"
"346","G0418","1"
"347","G0421","1"
"348","G0422","1"
"349","G0423","2"
"350","G0424","1"
"351","G0425","2"
"352","G0426","1"
"353","G0428","2"
"354","G0429","1"
